name,url,codes,char,category,group,subgroup
"hundred points","https://github.githubassets.com/images/icons/emoji/unicode/1f4af.png?v8","1F4AF","💯","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"input numbers","https://github.githubassets.com/images/icons/emoji/unicode/1f522.png?v8","1F522","🔢","Symbols (alphanum)","Symbols","alphanum"
"thumbs up","https://github.githubassets.com/images/icons/emoji/unicode/1f44d.png?v8","1F44D","👍","People & Body (hand-fingers-closed)","People & Body","hand-fingers-closed"
"thumbs down","https://github.githubassets.com/images/icons/emoji/unicode/1f44e.png?v8","1F44E","👎","People & Body (hand-fingers-closed)","People & Body","hand-fingers-closed"
"1st place medal","https://github.githubassets.com/images/icons/emoji/unicode/1f947.png?v8","1F947","🥇","Activities (award-medal)","Activities","award-medal"
"2nd place medal","https://github.githubassets.com/images/icons/emoji/unicode/1f948.png?v8","1F948","🥈","Activities (award-medal)","Activities","award-medal"
"3rd place medal","https://github.githubassets.com/images/icons/emoji/unicode/1f949.png?v8","1F949","🥉","Activities (award-medal)","Activities","award-medal"
"pool 8 ball","https://github.githubassets.com/images/icons/emoji/unicode/1f3b1.png?v8","1F3B1","🎱","Activities (game)","Activities","game"
"A button (blood type)","https://github.githubassets.com/images/icons/emoji/unicode/1f170.png?v8","1F170","🅰","Symbols (alphanum)","Symbols","alphanum"
"AB button (blood type)","https://github.githubassets.com/images/icons/emoji/unicode/1f18e.png?v8","1F18E","🆎","Symbols (alphanum)","Symbols","alphanum"
"abacus","https://github.githubassets.com/images/icons/emoji/unicode/1f9ee.png?v8","1F9EE","🧮","Objects (computer)","Objects","computer"
"input latin letters","https://github.githubassets.com/images/icons/emoji/unicode/1f524.png?v8","1F524","🔤","Symbols (alphanum)","Symbols","alphanum"
"input latin lowercase","https://github.githubassets.com/images/icons/emoji/unicode/1f521.png?v8","1F521","🔡","Symbols (alphanum)","Symbols","alphanum"
"Japanese “acceptable” button","https://github.githubassets.com/images/icons/emoji/unicode/1f251.png?v8","1F251","🉑","Symbols (alphanum)","Symbols","alphanum"
"adhesive bandage","https://github.githubassets.com/images/icons/emoji/unicode/1fa79.png?v8","1FA79","🩹","Objects (medical)","Objects","medical"
"person","https://github.githubassets.com/images/icons/emoji/unicode/1f9d1.png?v8","1F9D1","🧑","People & Body (person)","People & Body","person"
"aerial tramway","https://github.githubassets.com/images/icons/emoji/unicode/1f6a1.png?v8","1F6A1","🚡","Travel & Places (transport-air)","Travel & Places","transport-air"
"flag: Afghanistan","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1eb.png?v8","1F1E6 1F1EB","🇦🇫","Flags (country-flag)","Flags","country-flag"
"airplane","https://github.githubassets.com/images/icons/emoji/unicode/2708.png?v8","2708","✈","Travel & Places (transport-air)","Travel & Places","transport-air"
"flag: Åland Islands","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1fd.png?v8","1F1E6 1F1FD","🇦🇽","Flags (country-flag)","Flags","country-flag"
"alarm clock","https://github.githubassets.com/images/icons/emoji/unicode/23f0.png?v8","23F0","⏰","Travel & Places (time)","Travel & Places","time"
"flag: Albania","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1f1.png?v8","1F1E6 1F1F1","🇦🇱","Flags (country-flag)","Flags","country-flag"
"alembic","https://github.githubassets.com/images/icons/emoji/unicode/2697.png?v8","2697","⚗","Objects (science)","Objects","science"
"flag: Algeria","https://github.githubassets.com/images/icons/emoji/unicode/1f1e9-1f1ff.png?v8","1F1E9 1F1FF","🇩🇿","Flags (country-flag)","Flags","country-flag"
"alien","https://github.githubassets.com/images/icons/emoji/unicode/1f47d.png?v8","1F47D","👽","Smileys & Emotion (face-costume)","Smileys & Emotion","face-costume"
